stop_id,stop_code,Stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3890,3890,Togninali Ln & Pock Fs Eb,,37.91641,-121.23851,,,,,,0
3812,3812,Wilma Ave & 4th St Ns Sb,,37.736795,-121.135483,,,,,,0
3899,3899,Togninali Ln & Kimball Fs Wb,TOGNINALI LN & KIMBALL LN,37.917466,-121.23495,,,,,,0
3900,3900,Togninali Ln & Pock Ns Wb,,37.91638,-121.23915,,,,,,0
7223,7223,Ralph & Airport Ns Wb,RALPH AVE & AIRPORT WY,37.920207,-121.261701,,,,,,0
3654,3654,Wilson Wy & Lafayette Ns Nb,,37.952624,-121.270611,,,,,,0
3903,3903,East St & Grant Line Fs Sb,,37.753902,-121.421189,,,,,,0
3530,3530,Holman Rd & Etcheverry Fs/Nb,,38.004781,-121.271784,,,,,,0
3540,3540,Airport Wy & Harding Fs/Sb,AIRPORT WY & HARDING WY,37.969863,-121.278204,,,,,,0
3862,3862,Lincoln St & Sonora St Fs Sb,,37.947083,-121.296523,,,,,,0
3865,3865,Fresno Ave & Sonora St Fs Nb,,37.944894,-121.312522,,,,,,0
3810,3810,Grant Line Rd & East St Fs Wb,,37.754344,-121.421519,,,,,,0
3916,3916,Thornton Rd & Pershing Fs Sb,,38.025665,-121.329526,,,,,,0
3911,3911,Thornton Rd & Macduff Fs Nb,,38.026476,-121.330004,,,,,,0
3811,3811,Grant Line Rd & Orchard Pkwy Fs Wb,,37.75426,-121.45705,,,,,,0
3796,3796,Grant Line Rd & Orchard Pkwy Fs/Eb,,37.753999,-121.455858,,,,,,0
3921,3921,99 Frontage Rd & Shadow Lake Mobile Home Park Nb,N HIGHWAY 99 & N 99 FRONTAGE RD,38.010154,-121.257025,,,,,,0
3819,3819,Giannecchini Ln & Transworld Dr Nb,,37.908224,-121.23334,,,,,,0
3716,3716,Pock Ln & Maya Angelou Library Nb,,37.934251,-121.246884,,,,,,0
7222,7222,Main & Louise Ns Nb,,37.81244,-121.2169,,,,,,0
7119,7119,Morada Ln & El Dorado Ns Eb,,38.035439,-121.318529,,,,,,0
7324,7324,Holman Rd & Auto Center Fs Sb,,38.019575,-121.271215,,,,,,0
7190,7190,Grant Line & Macarthur Fs Eb,GRANT LINE RD & MACARTHUR BLVD,37.754168,-121.414462,,,,,,0
3797,3797,Grant Line Rd & East St Fs Eb,,37.75412,-121.420353,,,,,,0
7192,7192,Harlan Rd & Lathrop Rd Fs Sb,,37.825675,-121.287131,,,,,,0
3807,3807,Stonebridge & Opal Ns Eb,,37.835798,-121.28228,,,,,,0
7127,7127,Park St & Aurora St Ns Wb,,37.961348,-121.282181,,,,,,0
9920,9920,VTA Parkout C Arrive,,37.410555,-122.028381,,,,,,0
7000,7000,Filbert St & Myrtle Fs Nb,,37.961378,-121.254256,,,,,,0
3306,3306,Bianchi Rd & Hillsboro Way Ns/Eb,,37.99579,-121.29576,,,,,,0
3637,3637,Elaine Dr & Kermit Ln,,38.005995,-121.300961,,,,,,0
3856,3856,Lincoln St & Layfayette Ns Nb,,37.94836,-121.296657,,,,,,0
3144,3144,Weber & Center Fs/Wb,,37.953534,-121.29176,,,,,,0
3710,3710,Washington St & Thelma Fs Eb,,37.965141,-121.227558,,,,,,0
7059,7059,Mt Diablo Av & Ryde Fs Wb,,37.956538,-121.333241,,,,,,0
3529,3529,March Ln & Bianchi Rd Fs/Eb,,38.003505,-121.284269,,,,,,0
3528,3528,March Ln & Montauban Ave Fs/Wb,,38.003575,-121.285207,,,,,,0
7943,7943,East Gate Arrive,,37.686827,-121.697475,,,,,,0
3553,3553,Weber & Stanislaus Fs/Wb,,37.955122,-121.28269,,,,,,0
3583,3583,Sandalwood Dr & West Lane Frontage Ns Wb,,38.032066,-121.294645,,,,,,0
9936,9936,Johnson Park & Ride,,37.691129,-121.914865,,,,,,0
9907,9907,8th St & N St,,38.576592,-121.498064,,,,,,0
